Timestamp(s),Cart_Position_X,Pendulum_Angle_Rad,Pendulum_Angle_Deg,Velocity_dX_dT,AngVelocity_dTheta_dT,Action_Type,Force_Applied_N,Gravity_Setting,Force_Applied
0.05,-0.0001,0.1012,5.8,-0.0035,0.0388,NONE,0,9.81,0
0.1,-0.0004,0.1043,5.97,-0.007,0.0771,NONE,0,9.81,0
0.15,-0.0008,0.1093,6.26,-0.0105,0.1156,NONE,0,9.81,0
0.2,-0.0015,0.1163,6.67,-0.014,0.1552,NONE,0,9.81,0
0.25,-0.0023,0.1254,7.18,-0.0177,0.1964,NONE,0,9.81,0
0.3,-0.0033,0.1366,7.82,-0.0216,0.2401,NONE,0,9.81,0
0.35,-0.0045,0.15,8.6,-0.0258,0.287,NONE,0,9.81,0
0.4,-0.0059,0.166,9.51,-0.0303,0.3379,NONE,0,9.81,0
0.45,-0.0076,0.1847,10.58,-0.0352,0.3936,NONE,0,9.81,0
0.5,-0.0096,0.2063,11.82,-0.0406,0.455,NONE,0,9.81,0
0.55,-0.0118,0.2312,13.25,-0.0464,0.5229,NONE,0,9.81,0
0.6,-0.0143,0.2598,14.88,-0.0528,0.5985,NONE,0,9.81,0
0.65,-0.0172,0.2924,16.75,-0.0597,0.6828,NONE,0,9.81,0
0.7,-0.0204,0.3296,18.88,-0.0672,0.7768,NONE,0,9.81,0
0.75,-0.024,0.3718,21.3,-0.0753,0.8818,NONE,0,9.81,0
0.8,-0.028,0.4196,24.04,-0.0838,0.9988,NONE,0,9.81,0
0.85,-0.0325,0.4738,27.15,-0.0925,1.1292,NONE,0,9.81,0
0.9,-0.0374,0.5349,30.65,-0.1013,1.274,NONE,0,9.81,0
0.95,-0.0428,0.6038,34.59,-0.1097,1.4342,NONE,0,9.81,0
1,-0.0485,0.6812,39.03,-0.1171,1.6107,NONE,0,9.81,0
1.05,-0.0546,0.768,44,-0.1226,1.8039,NONE,0,9.81,0
1.1,-0.0608,0.865,49.56,-0.1251,2.014,NONE,0,9.81,0
1.15,-0.0671,0.973,55.75,-0.1232,2.2406,NONE,0,9.81,0
1.2,-0.0731,1.093,62.62,-0.1151,2.4825,NONE,0,9.81,0
1.25,-0.0784,1.2255,70.21,-0.0989,2.7383,NONE,0,9.81,0
1.3,-0.0826,1.3712,78.56,-0.0726,3.0054,NONE,0,9.81,0
1.35,-0.0851,1.5305,87.69,-0.0345,3.2808,NONE,0,9.81,0
1.4,-0.0853,1.7038,97.62,0.0166,3.5602,NONE,0,9.81,0
1.45,-0.0826,1.8911,108.35,0.0805,3.8377,NONE,0,9.81,0
1.5,-0.0763,2.092,119.87,0.1551,4.1047,NONE,0,9.81,0
1.55,-0.0661,2.3057,132.11,0.2355,4.3489,NONE,0,9.81,0
1.6,-0.052,2.5304,144.98,0.3139,4.5524,NONE,0,9.81,0
1.65,-0.0342,2.7634,158.33,0.3795,4.6928,NONE,0,9.81,0
1.7,-0.0139,3.0008,171.93,0.4212,4.7461,NONE,0,9.81,0
1.75,0.0076,-3.0454,-174.49,0.4307,4.6943,NONE,0,9.81,0
1.8,0.0285,-2.8144,-161.25,0.4068,4.5334,NONE,0,9.81,0
1.85,0.0474,-2.5944,-148.65,0.356,4.2758,NONE,0,9.81,0
1.9,0.0665,-2.3875,-136.79,0.3975,4.0137,USER_RIGHT_ACCUM,4.6,9.81,4.5
1.95,0.0878,-2.1954,-125.79,0.4433,3.6967,USER_RIGHT_ACCUM,5.2,9.81,5.25
2,0.1119,-2.0204,-115.76,0.5023,3.3419,USER_RIGHT_ACCUM,5.8,9.81,5.75
2.05,0.1394,-1.864,-106.8,0.5804,2.9623,USER_RIGHT_ACCUM,6.4,9.81,6.5
2.1,0.1716,-1.7271,-98.95,0.6806,2.5669,USER_RIGHT_ACCUM,7,9.81,7
2.15,0.2095,-1.6104,-92.27,0.8035,2.1617,USER_RIGHT_ACCUM,7.6,9.81,7.5
2.2,0.2542,-1.5142,-86.75,0.948,1.7509,USER_RIGHT_ACCUM,8.2,9.81,8.25
2.25,0.3068,-1.4387,-82.43,1.1122,1.3378,USER_RIGHT_ACCUM,8.8,9.81,8.75
2.3,0.3681,-1.3839,-79.29,1.2935,0.9248,USER_RIGHT_ACCUM,9.4,9.81,9.5
2.35,0.439,-1.3499,-77.34,1.4893,0.5141,USER_RIGHT_ACCUM,10,9.81,10
2.4,0.5202,-1.3363,-76.57,1.697,0.1076,USER_RIGHT_ACCUM,10.6,9.81,10.5
